Pos,Name,kraj,czas_netto
254,"CIEPAJ Bartek [4572]
 cyclismo Wroclaw",Wrocław,01:44:39
255,BIS Paweł [4360],Warszawa,01:44:45
256,"ŁUCZYN Marcin [4470]
Biegfirmowy.pl",Wrocław,01:44:47
257,"BINDUGA Mirosław [4201]
 ",Kamieniec Wrocławski,01:44:50
258,TENDAJ Marek [4550],Jelenia Góra,01:44:54
259,"KOSELSKI Roman [4394]
Wkb Meta Lubliniec",Lubliniec,01:45:08
260,NOJSZEWSKI Leszek [4140],Warszawa,01:45:10
261,"KARBOWIAK Hubert [4277]
3.rwt Sp Kraków Balice",Wrocław,01:45:26
262,"CLEMENZ Heimo [4189]
Psv Zittau",Kurort Jonsdorf,01:45:32
263,PIGLA Andrzej [4133],Wrocław,01:45:36
264,"KLEINVELD Katja [4380]
Llv Bedaf Uden",Gemonde,01:45:37
265,SEIFERT Jorg [4571],Sebnitz,01:45:41
266,JAROSLAV Čech [4287],Harrachov,01:45:44
267,"DRASLAROVA Jana [4243]
Sokol Maxičky",Harrachov,01:45:45
268,"PARYŚ Piotr [4275]
Jsc Jasło",Zarzecze,01:45:46
269,"GABLANKOWSKI Wojciech [4317]
 ",Myślenice,01:45:49
270,KLOZ Vít [4274],Liberec,01:46:10
271,"JURGA Dawid [4527]
Skoczkowiezlodzi.pl",Pabianice,01:46:25
272,"BAZAN Tadeusz [4204]
Gb Na Zdrowie",Sokołów Młp.,01:46:27
273,"ŹREBIEC Andrzej [4399]
Polska Miedź Odz.zg Ruda",Polkowice,01:46:30
274,"WILKELIS Juozas [4190]
Inzinerija",Vilnius,01:46:38
Odśwież,,,
275,"JANISZ Daniel [4272]
Skipol.pl Team",Krakow,01:46:57
276,BARTKOWIAK Jacek [4421],Jelenia Góra,01:47:00
277,"ZGLINIECKI Grzegorz [4395]
Wkb Meta Lubliniec",Lubliniec,01:47:10
278,"WYBRANIEC Andrzej [4170]
Ks.gryf Kietrz",Kietrz,01:47:17
279,KOENIG Piotr [4570],Konstancin,01:47:21
280,"PALME Stepan Ii [4142]
Ski Bratrouchov",Bratrouchov,01:47:22
281,"KOWALSKI Pawel [4451]
Roller Ski London",London,01:47:26
282,GREGORIC Janez [4164],Polsnik,01:47:39
283,"SZCZEPEK Tomasz [4109]
Henrykowianka",Henryków,01:47:44
284,"FELSKI Mariusz [4137]
Mżs Wołcza Mała",Miastko,01:48:01
285,"SANDER Manuel [4482]
Alpinclub Berlin",Berlin,01:48:14
286,"RACINIEWSKI Sebastian [4184]
K.s.`górnik Nowe Miasto` Wałbrzych",Wałbrzych,01:48:19
287,RAK Andrzej [4163],Zwardoń,01:48:23
288,GRUCHAŁA Andrzej [4132],Stróża,01:48:28
289,"KAISER Joerg [4294]
Skiclub Saxonia Dresden-germany",Weißwasser,01:48:41
290,SŁOWIK Edward [4531],Krempachy,01:48:50
291,"NOWICKI Robert [4110]
Rock & Rollski",Warszawa,01:48:57
292,"GRABOWICZ Andrzej [4293]
Kraków Ski",Kraków,01:49:05
293,BÖCKL Bernhard [4371],Ottenschlag,01:49:06
294,MROZIŃSKI Stanisław [4288],Jelenia Góra,01:49:09
295,ŻURAWIK Andrzej [4150],Katowice,01:49:11
296,JAWORSKI Artur [4536],Poznań,01:49:22
297,SUPERNAK Tadeusz [4271],Józefosław,01:49:31
298,KREEKMAN Kalev [4095],Tallinn,01:49:42
299,KRAWIETZ Joanna [4565],Szklarska Poręba,01:50:02
Odśwież,,,
300,"KLEMENTOWSKI Jan [4488]
Klemens Team",Wrocław,01:50:15
301,GALLIO Manuel [4453],Breganze,01:50:15
302,"SINDERA Mirosław [4279]
Tkkf Czeladz",Psary,01:50:30
303,JAWORSKI Radosław [4452],Warszawa,01:50:31
304,JARZĄBEK Wojciech [4373],Ostrołęka,01:50:33
305,"GOŚCIEJ Andrzej [4304]
Wieliczka-solne Miasto",Wieliczka,01:50:35
306,MOROZ Robert [4529],Legnica,01:50:38
307,"SEEMANOVA Jana [4198]
Klub K2",Praha 10,01:50:46
308,"HURNOWICZ Piotr [4495]
 pro Skibob",Szklarska Poręba,01:50:50
309,"MILEJSKI Medard [4136]
Huta Julia Sport Team",Szklarska Poręba,01:51:10
310,ZAWADA Janusz [4214],Istebna,01:51:15
311,GUZOWSKI Andrzej [4305],Elbląg,01:51:42
312,"KRAEMER Karin [4414]
Post Sv Dresden",Pirna,01:51:50
313,KARBOWNICZEK Andrzej [4513],Wojciechów,01:52:14
314,SZECÓWKA Zbigniew [4407],Poraj,01:52:27
315,"TRZCIŃSKI Mariusz [4520]
Dgr Dolnośląska Grupa Rowerowa",Wrocław,01:52:29
316,"NIEWIAROWSKI Jarosław [4327]
Zło-dzi",Łódź,01:52:34
317,LINDERT Wojciech [4498],Szczyrk,01:52:55
318,"PACOWSKA-BRUDŁO Aleksandra [4290]
Gościniec Leśniczówka Jakuszyce",Warszawa,01:53:14
319,"KUBACKA Justyna [4338]
Tn Biegówki",Warszawa,01:53:16
320,"LEŚNIAK Krzysztof [4312]
Leśniak Team",Warszawa,01:53:30
321,"LATAROWSKI Grzegorz [4309]
 rübezahl",Lwówek Śląski,01:53:45
322,HERRMANN Konrad [4138],Rötgesbüttel,01:53:49
323,"WOJSZEL Monika [4510]
 nocna Furia",Przezmierowo,01:53:56
324,KARABA Janusz [4319],Syców,01:54:08
Odśwież,,,
325,"KUKKONEN Vesa [4422]
Vantaan Hiihtoseura",Vantaa,01:54:25
326,"STODOLA Adam [4374]
Roprachtice",Semily,01:54:42
327,"KAISER Monika [4379]
Skiclub Saxonia Dresden-germany",Weißwasser,01:54:50
328,"PAULI Janusz [4447]
Polonia",Ehrwald,01:54:51
329,"GRZESIK Andrzej [4285]
Niezrzeszony",Sosnowiec,01:55:07
330,AUST Aleksandra [4483],Warszawa,01:55:13
331,BABSKI Roman [4306],Barcinek,01:55:18
332,"SIEGLOVA Dagmar [4289]
Mfp",Prague,01:55:33
333,JASIŃSKI Bogusław [4199],Karpacz,01:55:48
334,STOLARZ Adam [4521],Warszawa,01:55:52
335,"ŁAPCZYŃSKI Kazimierz [4303]
Lks `lubań` Maniowy",Maniowy,01:56:02
336,SŁOMSKI Piotr [4202],Jelenia Góra,01:56:04
337,"MAJKOWSKI Krzysztof [4440]
Majkowski-instalacje.pl",Dobrzyń,01:56:08
338,LAMPKA Robert [4316],Tulce,01:56:10
339,"DABULIS Jarosław [4334]
Trinergy",Warszawa,01:56:11
340,"ZIEMNIAK Robert [4321]
Welda Omega Team",Oława,01:56:12
341,SIWICKI Grzegorz [4326],Warszawa,01:56:19
342,WOŹNIAK Dariusz [4238],Ostrów Wielkopolski,01:56:49
343,"FRANC Tomáš [4158]
Roprachtice",Semily,01:57:07
344,"PAZDAN Piotr [4144]
Witar Tarnobrzeg",Ząbki,01:57:07
345,SIENKAN Mateusz [4418],Będzin,01:57:09
346,JANUSZKIEWICZ Leon [4313],Elbląg,01:57:19
347,"KUCERA Jiří [4160]
Roprachtice",Semily,01:57:26
348,SCHWARZ Jiří [4315],Frenštát Pod Radhoštěm,01:57:48
349,CISZYŃSKI Tadeusz [4263],Kudowa Zdrój,01:57:50
Odśwież,,,
350,"KRAEMER Werner [4408]
Post Sv Dresden",Pirna,01:58:02
351,"GOLASIŃSKA Jolanta [4318]
Lzk Włocławek",Włocławek,01:58:03
352,STEFURAK Radosław [4476],Wrocław,01:58:36
353,PURZYŃSKI Andrzej [4322],Jelenia Góra,01:58:59
354,CEBULAK Andrzej [4548],Wrocław,01:59:13
