Nr,imię nazwisko,imię nazwisko2,kat,kat-mce,team,czas_netto
333,Oczoś Krzysztof,Litwin Daniel,MM,378),TurboWichura Runners,14:54:23
315,Flasz Dawid,Flasz Anna,MIX,52),KSRG Zofiówka/Flashtastic team,14:54:35
29,Szygenda Waldemar,"Zaroda Jerzy, Zbigniew",MM,379),AKTYWNI konin,14:54:56
523,Jeger Piotr,Jeger Wojciech,MM,380),Jegermajster Team,14:55:03
184,Łabędzki Michał,Serwin Marcin,MM,381),Run Forrest 1,14:56:11
167,Szymański Karol,Maciążek Tomasz,MM,382),Powersport,14:56:12
149,Roszak Adrian,Stronka Dawid,MM,383),200YRS,14:56:15
578,Skrzycki Maciej,Jakacki Kamil,MM,384),Mleko pod nosem,14:56:23
32,Stencel Piotr,Gurak-Stencel Izabela,MIX,53),Iza i Piotr,14:57:09
357,Szcześniak Dorota,Nieczuja-Ostrowska Anna,KK,11),MIĘKKA SZPACHLA,14:57:10
97,Domin Tomasz,Madejak Monika,MIX,54),Golden Team 7,14:57:18
244,Wasielewska Natalia,Bielecki Michał,MIX,55),Śledziki,14:57:20
382,Świerzyński Witold,Połomski Daniel,MM,385),Paprykarze,14:57:58
351,Kozdęba Andrzej,Maj Michał,MM,386),Hakuna Matata,14:58:26
421,Weber Mariusz,Jodel Przemysław,MM,387),Weber Jodel Team,14:58:29
299,Grabowska Joanna,Magusiak Aga,KK,12),ZIEMNIAK BOJOWY,14:58:44
651,Pasek Tomasz,Nędziusiak Dariusz,MM,388),Nadzwyczajni,14:58:45
85,Albrycht Mikołaj,Suchar Marcin,MM,389),Suchary,14:59:25
31,Choroś Piotr,Skrzypczak Piotr,MM,390),Maraton Lubelski,15:00:00
479,Stefaniak Piotr,Witka Grażyna,MIX,56),Klub Mors Łeba,15:00:22
281,Brzezinski Marek,Jastrzebski Krzysztof,MM,391),Jogger Korup,15:00:26
635,Kowalik Wojtek,Nastała Lucjan,MM,392),FESTINA LENTE,15:00:42
390,Kozielewski Antoni,Panek Krzysztof,MM,393),Bez imienia,15:00:43
273,Krajewska Agata,Kirkiewicz Ireneusz,MIX,57),Koledzy Maćka z Oławy,15:02:43
169,Wąs Marek,Partyka Andrzej,MM,394),FLIP I FLAP,15:02:48
54,Zgubieński Krzysztof,Grzyb Piotr,MM,395),BULL RACING TEAM 3,15:03:42
181,Czmok Rafał,Molek Karol,MM,396),ACTIV-MEDIA.PL,15:06:21
13,Nowak Paweł (1959),Nowak Piotr,MM,397),BRACIA N,15:06:21
