MSC,NR SZTAFETY,team,Kategoria dodatkowa,czas_netto,plec
56,299,1 BATALION TRANSPORTOWY,,03:12:48,M
57,112,ACCELERATE JASKINIOWCY,,03:12:53,M
58,471,BECEGI 1,,03:13:17,M
59,120,PZU SPORT TEAM 2,FIRM UBEZPIECZENIOWYCH,03:13:34,M
60,413,TKKF PŁOCK 2,,03:13:42,M
61,498,(BIELAŃSKI KLUB KYOKUSHIN KARATE) BKKK RUNNING TEAM,,03:13:48,M
62,576,MERITUM BANK I PARTNERZY 1,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:14:23,M
63,328,CHARTY ARUPA,,03:14:39,M
64,202,UTC TEAM 2,,03:14:39,M
65,204,AGNIESZKA TEAM,BANKÓW,03:14:45,M
66,156,12TRI.PL 3,,03:14:51,M
67,449,IN4MATES,,03:15:12,M
68,477,OLIMPIJSKA TEAM 1,,03:16:05,M
69,101,DB MARATHON TEAM,BANKÓW,03:16:18,M
70,103,INNOVA CAPITAL,,03:16:26,M
71,522,RAIFFEISEN POLBANK WIGRAMY,BANKÓW,03:16:30,M
72,460,FRUNANATICS,,03:16:31,M
73,634,HOME BROKER RUNNING TEAM,,03:16:47,M
74,463,TRZECIA DE,,03:16:55,M
75,424,UNIQA  RUNNERS  1 ,FIRM UBEZPIECZENIOWYCH,03:17:03,M
76,301,WARSAW WRECKERS,,03:17:30,M
77,155,12TRI.PL 2,,03:17:39,M
78,581,GOTHAER TEAM ,FIRM UBEZPIECZENIOWYCH,03:18:09,M
79,506,AZIMUTUS,,03:18:20,M
80,623,MRR,,03:18:33,M
81,230,SAGE,,03:18:33,M
82,481,MSD RUNNING CLUB,,03:18:39,M
83,432,SATURNIAKI ???,,03:19:05,M
84,283,SANDOZ BE HEALTHY 2,,03:19:09,M
85,573,AKS POLONIA WARSZAWA,,03:19:40,M
86,304,TRUCHT TARCHOMIN TEAM,,03:19:48,M
87,638,SYGMA BANK 1,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:19:51,M
88,227,RBS 1,BANKÓW,03:19:52,M
89,347,SALONI SADOWSKI TEAM,,03:20:14,M
90,247,28KPCHOR,,03:20:16,M
91,205,EKIPA BEZ DZIENGÓW,,03:20:53,M
92,293,EDC RUNNERS MOUNTS TEAM,,03:21:06,M
93,310,CENTRUM REHABILITACJI LECZNICZEJ,,03:21:08,M
94,221,TOUK ALFA,,03:21:09,M
95,167,UTC,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:21:30,M
96,430,WALRAVEN,,03:21:48,M
97,276,PEKAO LEASING RUNNERS,BANKÓW,03:21:50,M
98,402,BANK PEKAO - DETAL CENTRALA,BANKÓW,03:22:05,M
99,448,RUN FORREST,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:22:23,M
